rank,player_name,team,position_group,minutes,value_share,minutes_weight,overachievement_mult,shrinkage,carry_score,vaep_raw
1,Cody Mathès Gakpo,Netherlands,FWD,558,0.2311442199705896,1.0,3.377564209458497,0.6739130434782609,0.5261269083146048,2.7749369865301325
2,Ivan Schranz,Slovakia,FWD,349,0.5094488997285694,0.9694444444444444,1.7557945012997307,0.5638126009693053,0.4889134865655948,3.2036414448682304
3,Jules Koundé,France,DEF,607,0.2107344568580146,1.0,2.966450983561978,0.6921322690992018,0.43267502411383346,1.512886751755081
4,Jude Bellingham,England,MID,707,0.15021933789070738,1.0,3.777335837641361,0.7236438075742068,0.4106164014171723,1.6993820744358474
5,Harry Kane,England,FWD,629,0.1472197763553498,0.9984126984126984,3.777335837641361,0.699666295884316,0.38846581099074684,1.665449019105364
6,Scott McTominay,Scotland,MID,295,0.23266521720822575,1.0,3.0004757767029426,0.5221238938053098,0.36449800487223005,0.9060925018149824
7,Stefan de Vrij,Netherlands,DEF,584,0.14716039635216163,1.0,3.377564209458497,0.6838407494145199,0.3398987279355645,1.766692789644519
8,Žan Karničnik,Slovenia,DEF,412,0.30807982810197815,1.0,1.7557945012997307,0.6041055718475073,0.32677572679595546,1.1283802054355165
9,Erik Janža,Slovenia,DEF,281,0.41096937639202036,0.7805555555555556,1.7557945012997307,0.5099818511796733,0.2872378624590835,1.5052258118224926
10,Xavi Simons,Netherlands,MID,480,0.12996719805043092,0.8888888888888888,3.377564209458497,0.64,0.2497266099420385,1.5602846783350943
11,Barnabás Varga,Hungary,FWD,261,0.24068251838171298,0.9666666666666667,2.1782493249099044,0.4915254237288136,0.2491006522070912,0.7487125951582779
12,Declan Rice,England,MID,733,0.08869701873363946,1.0,3.777335837641361,0.7308075772681955,0.24484862153286716,1.003400266625537
13,Alessandro Bastoni,Italy,DEF,390,0.22868470493834966,1.0,1.7557945012997307,0.5909090909090909,0.23726379622760793,1.6576593766723697
14,Khvicha Kvaratskhelia,Georgia,FWD,361,0.2345371019429047,1.0,1.7557945012997307,0.572107765451664,0.23559337935516267,1.2121210778024492
15,Vladimír Coufal,Czech Republic,DEF,296,0.24391979331466865,1.0,1.7671360990133853,0.5229681978798587,0.22541993590273765,1.5067539538804828
16,Jerdy Schouten,Netherlands,MID,535,0.09983178516987927,0.9907407407407407,3.377564209458497,0.6645962732919255,0.22201911898453966,1.1985024463708276
17,Nicolò Barella,Italy,MID,357,0.21970242553794356,0.9916666666666667,1.7557945012997307,0.569377990430622,0.217808551497769,1.5925498203686883
18,Kristjan Asllani,Albania,MID,291,0.2355407417471575,1.0,1.7671360990133853,0.5187165775401069,0.21590672251545312,0.8583977316814222
19,Michel Aebischer,Switzerland,DEF,504,0.18602616218618523,1.0,1.744452903586076,0.6511627906976745,0.21131136291913077,1.7207521007148736
20,Fabián Ruiz Peña,Spain,MID,574,0.1544598832090703,0.9111111111111111,2.1328829340552846,0.6800947867298578,0.20413783764726484,2.2922234032868793
21,Theo Bernard François Hernández,France,DEF,607,0.09938563620719366,1.0,2.966450983561978,0.6921322690992018,0.20405624777104778,0.7135008416488818
22,Lamine Yamal Nasraoui Ebana,Spain,FWD,526,0.16751498544758123,0.834920634920635,2.1328829340552846,0.6608040201005025,0.1971235693370455,2.4859643945506895
23,Nedim Bajrami,Albania,MID,257,0.23969534823026495,0.9518518518518518,1.7671360990133853,0.4876660341555977,0.1966171840183103,0.8735386570036182
24,Bukayo Saka,England,FWD,662,0.07151607803301928,1.0,3.777335837641361,0.7103004291845494,0.1918807316237683,0.8090379224789961
25,Dayotchanculle Upamecano,France,DEF,607,0.09262894080571729,1.0,2.966450983561978,0.6921322690992018,0.19018355989004626,0.6649937531027246
26,John Stones,England,DEF,733,0.06576362754443396,1.0,3.777335837641361,0.7308075772681955,0.1815408655347354,0.7439623377929958
27,Samet Akaydin,Turkey,DEF,355,0.15453142537700487,0.7888888888888889,2.566679355379114,0.568,0.1777266696668892,1.5105893293654873
28,Mykola Shaparenko,Ukraine,MID,227,0.2609855281052236,0.8407407407407408,1.7671360990133853,0.4567404426559356,0.17709976552117057,1.2848506720423518
29,Ondrej Duda,Slovakia,MID,333,0.19735195575040823,0.925,1.7557945012997307,0.5522388059701493,0.1770042822304827,1.241036942085191
30,Morten Hjulmand,Denmark,MID,248,0.3017015890361747,0.6888888888888889,1.7557945012997307,0.47876447876447875,0.17471185839953515,0.9384123052445345
31,Tomáš Souček,Czech Republic,MID,296,0.1877682364343616,1.0,1.7671360990133853,0.5229681978798587,0.1735271387631931,1.1598916546131135
32,Guram Kashia,Georgia,DEF,389,0.16653708993682018,1.0,1.7557945012997307,0.590288315629742,0.17260319990121736,0.8606873508543782
33,Virgil van Dijk,Netherlands,DEF,584,0.07108322495648044,1.0,3.377564209458497,0.6838407494145199,0.164182064870542,0.8533696844276585
34,Georges Mikautadze,Georgia,FWD,366,0.15936946900308957,1.0,1.7557945012997307,0.5754716981132075,0.16102851206029845,0.8236440671286847
35,Timi Elšnik,Slovenia,MID,372,0.1577510676266904,1.0,1.7557945012997307,0.5794392523364486,0.1604921901029206,0.5777826584522624
36,Grant Campbell Hanley,Scotland,DEF,250,0.1198908030646883,0.9259259259259259,3.0004757767029426,0.4807692307692308,0.16013597331065713,0.4669032999301717
