rank,player_name,team,minutes,shots_faced,xg_faced,goals_conceded,goals_prevented,goals_prevented_p90
1,Koen Casteels,Belgium,385.0,57,3.9283254447,1,2.9283254447,0.6845436104493506
2,Mike Maignan,France,607.0,50,4.859123218,2,2.8591232179999997,0.423922717660626
3,Jan Oblak,Slovenia,412.0,62,4.66646908,2,2.6664690799999997,0.5824811097087378
4,Giorgi Mamardashvili,Georgia,389.0,106,10.3897283929,8,2.3897283929000004,0.5528934585115682
5,Fehmi Mert Günok,Turkey,392.0,58,6.1948474094,4,2.1948474094000003,0.5039190480765307
6,Unai Simón Mendibil,Spain,616.0,64,5.161292861,3,2.1612928609999997,0.31577330761363637
7,Diogo Meireles Costa,Portugal,536.0,51,3.407931366,2,1.4079313660000001,0.23640638608208955
8,Martin Dúbravka,Slovakia,425.0,53,5.4070889035,4,1.4070889035,0.2979717678
9,Manuel Neuer,Germany,519.0,45,4.176194419,3,1.1761944189999998,0.2039643501156069
10,Łukasz Skorupski,Poland,97.0,18,1.1079679426,0,1.1079679426,1.0280114931340205
11,Jindřich Staněk,Czech Republic,253.0,37,3.0520991542,2,1.0520991542,0.374264521256917
12,Kasper Schmeichel,Denmark,384.0,42,3.9066597667,3,0.9066597666999998,0.21249838282031247
13,Patrick Pentz,Austria,390.0,46,5.7353408045,5,0.7353408044999998,0.16969403180769227
14,Yann Sommer,Switzerland,509.0,60,4.679105537,4,0.6791055369999999,0.12007759986247542
15,David Raya Martin,Spain,94.0,10,0.50315428,0,0.50315428,0.481743459574468
16,Predrag Rajković,Serbia,288.0,26,2.495177329,2,0.4951773290000001,0.15474291531250003
17,Anatolii Trubin,Ukraine,192.0,26,1.3801231105,1,0.3801231105,0.17818270804687503
18,Jordan Pickford,England,733.0,73,6.058061967,6,0.058061967000000436,0.007129027326057353
19,Bart Verbruggen,Netherlands,584.0,63,5.0462826348,5,0.04628263479999983,0.0071325978287670976
20,Thomas Strakosha,Albania,291.0,53,4.04060277,4,0.040602769999999566,0.012557557731958628
21,Altay Bayındır,Turkey,95.0,12,1.901227116,2,-0.09877288399999995,-0.09357431115789469
22,Florin Constantin Niţă,Romania,385.0,70,5.6602722309999995,6,-0.33972776900000046,-0.07941688106493516
23,Gianluigi Donnarumma,Italy,390.0,47,3.3192155152,4,-0.6807844848000002,-0.15710411187692314
24,Péter Gulácsi,Hungary,296.0,38,3.762997269,5,-1.237002731,-0.3761156952364865
25,Wojciech Szczęsny,Poland,191.0,35,2.350953371,4,-1.6490466289999999,-0.7770376785863873
26,Andriy Lunin,Ukraine,96.0,10,1.1210513,3,-1.8789487,-1.7615144062499999
27,Dominik Livaković,Croatia,295.0,37,3.8303587169999997,6,-2.1696412830000003,-0.661924459220339
28,Angus Gunn,Scotland,295.0,44,3.052300624,6,-2.947699376,-0.8992981147118645
