rank,player_name,team,position_group,minutes,xg_chain,xg_buildup,xg_chain_p90,xg_buildup_p90
1,Cristiano Ronaldo dos Santos Aveiro,Portugal,FWD,507,7.1202652647,0.971755248,1.263952413852071,0.17250093159763313
2,Fabián Ruiz Peña,Spain,MID,574,6.5335778042,3.8681742891999997,1.0244285755714286,0.6065081638118466
3,Kai Havertz,Germany,FWD,411,6.018094131,2.032877833,1.3178308316058394,0.44515572985401464
4,Toni Kroos,Germany,MID,506,5.8458755504,4.6211865314,1.039780236237154,0.82195017356917
5,Bernardo Mota Veiga de Carvalho e Silva,Portugal,FWD,440,5.825092078,2.8860700343,1.1914961068636363,0.5903325070159091
6,Lamine Yamal Nasraoui Ebana,Spain,FWD,526,5.6015749235,1.7510763355,0.9584443785456275,0.2996138216634981
7,Nicholas Williams Arthuer,Spain,FWD,514,5.4516028225,2.9051072959999997,0.954560805496109,0.5086763747859921
8,Memphis Depay,Netherlands,FWD,475,5.4349774483,2.1896566403,1.0297852007305264,0.4148823107936842
9,Theo Bernard François Hernández,France,DEF,607,5.4226906886,3.2294409096,0.8040233310939044,0.47882978890280065
10,Jules Koundé,France,DEF,607,5.3812524976,2.756677846,0.7978792830049424,0.4087331237891269
11,Aymeric Laporte,Spain,DEF,564,5.0752468437,4.7299248437,0.8098798154840425,0.7547752410159574
12,Kylian Mbappé Lottin,France,FWD,486,5.0321111666,2.0371852926,0.9318724382592594,0.3772565356666666
13,Ousmane Dembélé,France,FWD,370,4.8052331826,1.582086241,1.1688405038756757,0.3848317883513514
14,Bruno Miguel Borges Fernandes,Portugal,MID,390,4.797688673,1.903801458,1.1071589245384614,0.43933879800000003
15,Marc Cucurella Saseta,Spain,DEF,588,4.6746353022,3.9697208457,0.7155054033979591,0.6076103335255102
16,Harry Kane,England,FWD,629,4.572415872,1.225473469,0.6542407448012718,0.17534596535771063
17,Joshua Kimmich,Germany,DEF,519,4.5006885554,2.708918277,0.7804662234797688,0.4697546145086705
18,Rodrigo Hernández Cascante,Spain,MID,555,4.4343715432,3.9321459325,0.7190872772756757,0.6376452863513513
19,Stefan de Vrij,Netherlands,DEF,584,4.3800424223,4.1046452273,0.6750065376832192,0.6325651891386986
20,Álvaro Borja Morata Martín,Spain,FWD,467,4.241588227,2.282535691,0.8174367032762313,0.4398891053319058
21,Tijjani Reijnders,Netherlands,MID,527,4.2139626783,2.8920462233,0.7196520702979127,0.4938978369962049
22,Jude Bellingham,England,MID,707,4.204406633,2.41365055,0.5352144228712871,0.307253959688826
23,Jerdy Schouten,Netherlands,MID,535,4.1612788123,3.8565523713000003,0.7000282114149532,0.6487658194710281
24,Cody Mathès Gakpo,Netherlands,FWD,558,4.1253431013,0.9521523313,0.6653779195645162,0.1535729566612903
25,Marcel Sabitzer,Austria,FWD,390,4.079816753,1.263919442,0.9414961737692308,0.29167371738461534
26,Josip Šutalo,Croatia,DEF,295,4.065626417,3.787863557,1.24036060179661,1.1556193902711864
27,Daniel Olmo Carvajal,Spain,MID,461,4.063080834,1.454507558,0.7932261931887201,0.283960260780911
28,Adrien Rabiot,France,MID,386,4.0465022941,3.1803179976,0.9434849908523316,0.7415249217202072
29,Andrej Kramarić,Croatia,FWD,246,4.0390977239999994,2.376325441,1.4777186795121948,0.8693873564634147
30,Daniel Carvajal Ramos,Spain,DEF,504,4.0373482512,3.3163874482,0.7209550448571428,0.5922120443214286
31,Virgil van Dijk,Netherlands,DEF,584,4.0329231413,3.4000222193000003,0.6215121279400685,0.5239760269469178
32,Nuno Mendes,Portugal,DEF,434,4.0046898956,2.9746477693,0.8304656465529954,0.6168624406382489
33,Manuel Obafemi Akanji,Switzerland,DEF,509,3.9716791959999997,3.155951598,0.7022615474263261,0.5580268051473478
34,Antonio Rüdiger,Germany,DEF,519,3.96634263,3.320247338,0.6878050803468209,0.5757654343352602
35,Bukayo Saka,England,FWD,662,3.9231732079999997,2.136210195,0.5333619164954682,0.2904213256042296
36,Kevin De Bruyne,Belgium,MID,385,3.893979065,1.47062076,0.9102808203896103,0.3437814763636364
37,Granit Xhaka,Switzerland,MID,509,3.852289998,3.254697768,0.6811514731237721,0.5754868352062869
38,William Saliba,France,DEF,607,3.813943944,3.693578527,0.5654941597364086,0.5476475575453048
39,N'Golo Kanté,France,MID,538,3.769494554,1.746540442,0.6305845908178438,0.29217219289962826
40,Dayotchanculle Upamecano,France,DEF,607,3.7239000020999997,3.4200741941,0.5521433281532124,0.5070950205420099
41,Antoine Griezmann,France,MID,416,3.7184412035,1.602054701,0.8044704526802884,0.3465983728125
42,Xavi Simons,Netherlands,MID,480,3.577861714,1.705679167,0.670849071375,0.3198148438125
43,Aurélien Djani Tchouaméni,France,MID,492,3.5117152956,2.9041006386,0.6423869443170732,0.531237921695122
44,Kyle Walker,England,DEF,733,3.479954619,3.378482209,0.42727955758526603,0.4148204622237381
45,Phil Foden,England,FWD,645,3.464009375,1.944226152,0.4833501453488372,0.2712873700465116
46,Christian Dannemann Eriksen,Denmark,MID,364,3.403206327,1.797028863,0.8414521138186812,0.44432032326923077
47,Robin Aime Robert Le Normand,Spain,DEF,468,3.3725208392,3.0698164502000003,0.6485616998461539,0.5903493173461538
48,Fabian Lukas Schär,Switzerland,DEF,509,3.35987575,2.2398512139999998,0.5940841208251474,0.39604441897838893
49,Luka Modrić,Croatia,MID,245,3.3237589009999997,1.499980465,1.220972657510204,0.5510132320408163
50,Denzel Dumfries,Netherlands,DEF,482,3.323254196,2.1181996720000003,0.6205246424066391,0.39551446157676357
51,Hakan Çalhanoğlu,Turkey,MID,373,3.3210669027,2.451190659,0.8013298156648795,0.5914401053887399
52,Jamal Musiala,Germany,FWD,443,3.3163869584,2.0037556384,0.6737580728126411,0.40708353827539506
53,Vitor Machado Ferreira,Portugal,MID,363,3.2679764273,1.8013217203,0.8102420894132232,0.44660869098347106
54,Arda Güler,Turkey,FWD,360,3.2644993175,1.654870019,0.8161248293750001,0.41371750475
55,Michel Aebischer,Switzerland,DEF,504,3.2341674929999997,2.341229406,0.5775299094642857,0.4180766796428571
56,John Stones,England,DEF,733,3.221290417,3.1271124,0.3955199693451569,0.38395650204638476
57,Florian Wirtz,Germany,FWD,303,3.202681207,1.67956007,0.9512914476237623,0.49887922871287127
58,Declan Rice,England,MID,733,3.139087217,2.366456046,0.3854268069986358,0.2905607696316508
59,Marcus Thuram,France,FWD,275,3.0871966945,1.1196908545,1.0103552818363635,0.36644427965454546
60,Vladimír Coufal,Czech Republic,DEF,296,3.0816749680999997,1.2261409334,0.9369957673277026,0.3728131216418919
61,Barış Alper Yılmaz,Turkey,FWD,487,3.0785870595,2.143634468,0.5689380602772074,0.396154213798768
62,Mateo Kovačić,Croatia,MID,234,3.0653462179999997,1.4842708519999999,1.1789793146153846,0.5708734046153846
63,Dan Ndoye,Switzerland,DEF,418,3.024825317,1.454245699,0.6512781783014354,0.31311510265550235
64,Ricardo Iván Rodríguez Araya,Switzerland,DEF,509,3.01091703,2.657687546,0.5323821860510806,0.46992510636542245
65,Marko Arnautović,Austria,FWD,297,2.993976632,1.2187787540000001,0.9072656460606061,0.36932689515151523
66,Marc Guehi,England,DEF,610,2.988111779,2.582763365,0.440868951,0.38106344729508196
67,Nathan Aké,Netherlands,DEF,493,2.9718001823,2.5389833063,0.5425193030567952,0.4635060802576065
68,Remo Freuler,Switzerland,MID,472,2.959094363,2.240819712,0.5642340946398305,0.4272749450847458
69,Kieran Trippier,England,DEF,463,2.940869495,2.1053529109999998,0.5716592970842332,0.40924786606911445
70,Dominik Szoboszlai,Hungary,MID,296,2.89849619,1.608442664,0.8812995172297298,0.4890535127027027
71,Romelu Lukaku Menama,Belgium,FWD,380,2.880362097,0.687232724,0.6821910229736842,0.16276564515789474
72,Josip Stanišić,Croatia,DEF,196,2.874965105,1.5868827380000001,1.320137038010204,0.728670645
73,Ferdi Erenay Kadıoğlu,Turkey,DEF,487,2.8721387857,1.9108295362,0.5307854018747432,0.35313071510882954
74,Francisco Fernandes Conceição,Portugal,MID,201,2.860321384,0.723403265,1.2807409182089553,0.32391190970149253
75,Christoph Baumgartner,Austria,MID,311,2.854053292,0.794085332,0.8259318208360128,0.22979961376205785
76,Marin Pongracic,Croatia,DEF,196,2.851671835,2.851671835,1.3094411487244897,1.3094411487244897
77,Stefan Posch,Austria,DEF,390,2.817067096,0.991587383,0.6500924067692307,0.22882785761538463
78,Georges Mikautadze,Georgia,FWD,366,2.766090711,0.11846530599999999,0.680186240409836,0.02913081295081967
79,Kléper Laveran Lima Ferreira,Portugal,DEF,423,2.6889172343,2.604379077,0.5721100498510637,0.5541232078723404
80,Pedro González López,Spain,MID,192,2.6134440392,1.0477514705,1.225051893375,0.491133501796875
81,Donyell Malen,Netherlands,FWD,204,2.580071098,0.42567826400000003,1.1382666608823528,0.1877992341176471
82,İlkay Gündoğan,Germany,MID,403,2.579953557,1.363618169,0.5761682881637717,0.3045301121836228
83,Maximilian Mittelstädt,Germany,DEF,327,2.5740603269999998,1.7283332820000001,0.7084569707339449,0.4756880592660551
84,Andraž Šporar,Slovenia,FWD,352,2.5290965363,0.4596613923,0.6466440007585227,0.11752706053125
85,Nicolas Seiwald,Austria,MID,390,2.510752172,2.200885091,0.5794043473846154,0.5078965594615384
86,Joško Gvardiol,Croatia,DEF,295,2.486246992,2.4173494680000003,0.7585160314576271,0.7374964478644069
87,Rúben Santos Gato Alves Dias,Portugal,DEF,440,2.4539499793,2.2820199433,0.5019443139477272,0.46677680658409093
88,Khvicha Kvaratskhelia,Georgia,FWD,361,2.450111081,1.191126812,0.6108310174238227,0.2969568229362881
89,Roland Sallai,Hungary,MID,289,2.448768527,0.816959377,0.7625922748442906,0.25441641498269896
