rank,player_name,team,position_group,minutes,xt,xt_p90
1,Lamine Yamal Nasraoui Ebana,Spain,FWD,526,1.5605151885451118,0.2670083022225477
2,Cody Mathès Gakpo,Netherlands,FWD,558,1.2906840344860275,0.2081748442719399
3,Jeremy Doku,Belgium,FWD,329,1.1667750754799266,0.3191785920765757
4,Nicholas Williams Arthuer,Spain,FWD,514,0.9609702524300953,0.16826327377180658
5,Bukayo Saka,England,FWD,662,0.9556610087723728,0.12992370209896306
6,Joshua Kimmich,Germany,DEF,519,0.890942027746712,0.15449861752833158
7,Toni Kroos,Germany,MID,506,0.8721088214921481,0.1551181698306192
8,Aymeric Laporte,Spain,DEF,564,0.8459572337129961,0.13499317559249938
9,Antonio Rüdiger,Germany,DEF,519,0.8097139885878463,0.140412830390956
10,Kylian Mbappé Lottin,France,FWD,486,0.8043954884401161,0.14896212748891038
11,Ousmane Dembélé,France,FWD,370,0.7942227254076364,0.1931893115856413
12,Mykhailo Mudryk,Ukraine,FWD,181,0.7508212920540988,0.3733365540600491
13,Jules Koundé,France,DEF,607,0.6440903567894248,0.09549939392264947
14,Theo Bernard François Hernández,France,DEF,607,0.625455122604155,0.09273634437293897
15,Aurélien Djani Tchouaméni,France,MID,492,0.6091303916240043,0.11142629115073249
16,Francisco Fernandes Conceição,Portugal,MID,201,0.5944447628188855,0.26616929678457557
17,Stefan Posch,Austria,DEF,390,0.5913921121062988,0.13647510279376127
18,Khvicha Kvaratskhelia,Georgia,FWD,361,0.5708614652226345,0.1423200328809892
19,Fabian Lukas Schär,Switzerland,DEF,509,0.5678968422881078,0.10041397997235697
20,Bruno Miguel Borges Fernandes,Portugal,MID,390,0.56425905789422,0.13021362874482
21,Ricardo Iván Rodríguez Araya,Switzerland,DEF,509,0.558110457214133,0.0986835778964086
22,Christoph Baumgartner,Austria,MID,311,0.5550712204123198,0.16063154288459416
23,Barış Alper Yılmaz,Turkey,FWD,487,0.5441884531103812,0.1005687079670109
24,Andrija Živković,Serbia,DEF,252,0.544178356606877,0.19434941307388462
25,Ferdi Erenay Kadıoğlu,Turkey,DEF,487,0.5406188093025692,0.09990902019965345
26,Lukáš Haraslín,Slovakia,FWD,273,0.5366518765958532,0.176918201075556
27,Florian Wirtz,Germany,FWD,303,0.5310916474698423,0.15774999429797296
28,Nuno Mendes,Portugal,DEF,434,0.5275588180708837,0.10940159821746435
29,N'Golo Kanté,France,MID,538,0.5196804781407419,0.08693539597149957
30,Maximilian Wöber,Austria,DEF,190,0.5119092769623119,0.24248334171898986
31,Vladimír Coufal,Czech Republic,DEF,296,0.49962737365358323,0.15191372847575166
32,Riccardo Calafiori,Italy,DEF,295,0.4913828461715396,0.1499134106964019
33,Roland Sallai,Hungary,MID,289,0.47723443509199487,0.14861972027086345
34,Arda Güler,Turkey,FWD,360,0.4688954020219117,0.11722385050547794
35,Joachim Andersen,Denmark,DEF,384,0.4641862009216986,0.10879364084102311
36,Daniel Olmo Carvajal,Spain,MID,461,0.46349400757499826,0.09048689952657234
37,Nathan Aké,Netherlands,DEF,493,0.4593839227093397,0.0838631907582973
38,Bernardo Mota Veiga de Carvalho e Silva,Portugal,FWD,440,0.4540848807587922,0.09288099833702568
39,Jude Bellingham,England,MID,707,0.454063529426486,0.05780158083222594
40,Mateo Kovačić,Croatia,MID,234,0.44899484276928053,0.17269032414203098
41,Jamal Musiala,Germany,FWD,443,0.44487013788351565,0.09037993771899866
