team_name,fifa_rank
Argentina,1
Spain,2
France,3
England,4
Portugal,5
Brazil,6
Morocco,7
Netherlands,8
Belgium,9
Germany,10
Croatia,11
Colombia,13
Mexico,14
Senegal,15
Uruguay,16
USA,17
Japan,18
Switzerland,19
Iran,20
Türkiye,22
Ecuador,23
Austria,24
South Korea,25
Australia,27
Algeria,28
Egypt,29
Canada,30
Norway,31
Ivory Coast,33
Panama,34
Sweden,38
Czechia,40
Paraguay,41
Scotland,42
Tunisia,45
Congo DR,46
Uzbekistan,50
Qatar,52
South Africa,57
Iraq,58
Saudi Arabia,60
Jordan,64
Cape Verde,70
Ghana,73
Bosnia & Herzegovina,74
Haiti,83
New Zealand,89
Curaçao,90
