match_no,date,kickoff_et,home_team,away_team,group_letter,stage,round_label,city,venue,channel_en,channel_es
1,2026-06-11,15:00,Mexico,South Africa,A,group,Group A,Mexico City,Estadio Azteca,FOX,Telemundo
2,2026-06-11,22:00,South Korea,Czechia,A,group,Group A,Guadalajara,Estadio Akron,FS1,Telemundo
3,2026-06-12,15:00,Canada,Bosnia & Herzegovina,B,group,Group B,Toronto,BMO Field,FOX,Telemundo
4,2026-06-12,21:00,USA,Paraguay,D,group,Group D,Los Angeles,SoFi Stadium,FOX,Telemundo
5,2026-06-13,15:00,Qatar,Switzerland,B,group,Group B,SF Bay Area,Levi's Stadium,FOX,Telemundo
6,2026-06-13,18:00,Brazil,Morocco,C,group,Group C,New York / NJ,MetLife Stadium,FS1,Telemundo
7,2026-06-13,21:00,Haiti,Scotland,C,group,Group C,Boston,Gillette Stadium,FS1,Telemundo
8,2026-06-13,00:00,Australia,Türkiye,D,group,Group D,Vancouver,BC Place,FOX,Telemundo
9,2026-06-14,13:00,Germany,Curaçao,E,group,Group E,Houston,NRG Stadium,FOX,Telemundo
10,2026-06-14,16:00,Netherlands,Japan,F,group,Group F,Dallas,AT&T Stadium,FOX,Telemundo
11,2026-06-14,19:00,Ivory Coast,Ecuador,E,group,Group E,Philadelphia,Lincoln Financial Field,FS1,Telemundo
12,2026-06-14,22:00,Tunisia,Sweden,F,group,Group F,Monterrey,Estadio BBVA,FS1,Telemundo
13,2026-06-15,12:00,Spain,Cape Verde,H,group,Group H,Atlanta,Mercedes-Benz Stadium,FOX,Telemundo
14,2026-06-15,15:00,Belgium,Egypt,G,group,Group G,Seattle,Lumen Field,FOX,Telemundo
15,2026-06-15,18:00,Saudi Arabia,Uruguay,H,group,Group H,Miami,Hard Rock Stadium,FS1,Telemundo
16,2026-06-15,21:00,Iran,New Zealand,G,group,Group G,Los Angeles,SoFi Stadium,FS1,Telemundo
17,2026-06-16,15:00,France,Senegal,I,group,Group I,New York / NJ,MetLife Stadium,FOX,Telemundo
18,2026-06-16,18:00,Iraq,Norway,I,group,Group I,Boston,Gillette Stadium,FOX,Telemundo
19,2026-06-16,21:00,Argentina,Algeria,J,group,Group J,Kansas City,Arrowhead Stadium,FOX,Telemundo
20,2026-06-16,00:00,Austria,Jordan,J,group,Group J,SF Bay Area,Levi's Stadium,FS1,Telemundo
21,2026-06-17,13:00,Portugal,Congo DR,K,group,Group K,Houston,NRG Stadium,FOX,Telemundo
22,2026-06-17,16:00,England,Croatia,L,group,Group L,Dallas,AT&T Stadium,FOX,Telemundo
23,2026-06-17,19:00,Ghana,Panama,L,group,Group L,Toronto,BMO Field,FS1,Telemundo
24,2026-06-17,22:00,Uzbekistan,Colombia,K,group,Group K,Mexico City,Estadio Azteca,FS1,Telemundo
25,2026-06-18,12:00,Czechia,South Africa,A,group,Group A,Atlanta,Mercedes-Benz Stadium,FOX,Telemundo
26,2026-06-18,15:00,Switzerland,Bosnia & Herzegovina,B,group,Group B,Los Angeles,SoFi Stadium,FOX,Telemundo
27,2026-06-18,18:00,Canada,Qatar,B,group,Group B,Vancouver,BC Place,FS1,Telemundo
28,2026-06-18,21:00,Mexico,South Korea,A,group,Group A,Guadalajara,Estadio Akron,FOX,Telemundo
29,2026-06-19,15:00,USA,Australia,D,group,Group D,Seattle,Lumen Field,FOX,Telemundo
30,2026-06-19,15:00,Scotland,Morocco,C,group,Group C,Boston,Gillette Stadium,FOX,Telemundo
31,2026-06-19,21:00,Brazil,Haiti,C,group,Group C,Philadelphia,Lincoln Financial Field,FOX,Telemundo
32,2026-06-19,00:00,Türkiye,Paraguay,D,group,Group D,SF Bay Area,Levi's Stadium,FS1,Telemundo
33,2026-06-20,13:00,Netherlands,Sweden,F,group,Group F,Houston,NRG Stadium,FOX,Telemundo
34,2026-06-20,16:00,Germany,Ivory Coast,E,group,Group E,Toronto,BMO Field,FOX,Telemundo
35,2026-06-20,20:00,Ecuador,Curaçao,E,group,Group E,Kansas City,Arrowhead Stadium,FS1,Telemundo
36,2026-06-20,00:00,Tunisia,Japan,F,group,Group F,Monterrey,Estadio BBVA,FS1,Telemundo
