club,league
Arsenal,Premier League
Aston Villa,Premier League
Bournemouth,Premier League
Brentford,Premier League
Brighton & Hove Albion,Premier League
Burnley,Premier League
Chelsea,Premier League
Crystal Palace,Premier League
Everton,Premier League
Fulham,Premier League
Leeds United,Premier League
Liverpool,Premier League
Manchester City,Premier League
Manchester United,Premier League
Newcastle United,Premier League
Nottingham Forest,Premier League
Sunderland,Premier League
Tottenham Hotspur,Premier League
West Ham United,Premier League
Wolverhampton Wanderers,Premier League
Alavés,La Liga
Athletic Bilbao,La Liga
Atlético Madrid,La Liga
Barcelona,La Liga
Celta Vigo,La Liga
Elche,La Liga
Espanyol,La Liga
Getafe,La Liga
Girona,La Liga
Levante,La Liga
Mallorca,La Liga
Osasuna,La Liga
Oviedo,La Liga
Rayo Vallecano,La Liga
Real Betis,La Liga
Real Madrid,La Liga
Real Sociedad,La Liga
Sevilla,La Liga
Valencia,La Liga
Villarreal,La Liga
Atalanta,Serie A
Bologna,Serie A
Cagliari,Serie A
Como,Serie A
Cremonese,Serie A
Fiorentina,Serie A
Genoa,Serie A
Hellas Verona,Serie A
Inter Milan,Serie A
Juventus,Serie A
Lazio,Serie A
Lecce,Serie A
Milan,Serie A
Napoli,Serie A
Parma,Serie A
Pisa,Serie A
Roma,Serie A
Sassuolo,Serie A
Torino,Serie A
Udinese,Serie A
FC Augsburg,Bundesliga
Bayer Leverkusen,Bundesliga
Bayern Munich,Bundesliga
Borussia Dortmund,Bundesliga
Borussia Mönchengladbach,Bundesliga
Eintracht Frankfurt,Bundesliga
FC Heidenheim,Bundesliga
FC St. Pauli,Bundesliga
Hamburger SV,Bundesliga
Köln,Bundesliga
Mainz 05,Bundesliga
RB Leipzig,Bundesliga
SC Freiburg,Bundesliga
TSG Hoffenheim,Bundesliga
Union Berlin,Bundesliga
VfB Stuttgart,Bundesliga
VfL Wolfsburg,Bundesliga
Werder Bremen,Bundesliga
Angers,Ligue 1
Auxerre,Ligue 1
Brest,Ligue 1
Le Havre,Ligue 1
Lens,Ligue 1
Lille,Ligue 1
Lorient,Ligue 1
Lyon,Ligue 1
Marseille,Ligue 1
Metz,Ligue 1
Monaco,Ligue 1
Nantes,Ligue 1
Nice,Ligue 1
Paris FC,Ligue 1
Paris Saint-Germain,Ligue 1
Rennes,Ligue 1
Strasbourg,Ligue 1
Toulouse,Ligue 1
